,med,lo_68,hi_68,lo_95,hi_95
2021-12-29,37.743951612903224,18.282521212121214,57.783443917851486,5.2158945686900955,78.4508116883116
2021-12-30,38.75751072961373,17.86305295950156,57.90571936056839,5.025583657587549,78.62443181818182
2021-12-31,39.38898163606011,18.135831739961763,57.91727272727272,4.6480132450331135,78.63198198198188
2022-01-01,38.45254010695187,18.393841554559042,57.564295774647896,4.966142857142858,78.67383720930239
2022-01-02,37.27212389380531,17.6731488801054,56.966224961479206,4.939438502673796,78.37277777777778
2022-01-03,36.521739130434796,17.94407315045719,56.36965821389195,5.5520215633423184,77.0546341463415
2022-01-04,36.47431077694236,17.35872164948454,56.59950276243094,4.8524131274131275,78.13842857142852
2022-01-05,37.82284541723667,17.025341614906832,57.27236180904523,4.4656762295081975,78.62667785234903
2022-01-06,38.63677130044843,16.581869158878504,57.46807272727272,4.085786802030457,79.06071428571441
2022-01-07,39.06973293768547,16.419821958456975,57.92365448504986,4.14577205882353,80.20877862595431
2022-01-08,39.03362573099415,15.972761194029852,57.56606498194946,3.617441860465116,79.22247706422024
2022-01-09,38.11948249619482,14.931506849315069,57.00404858299596,3.151041666666667,79.4119897959185
2022-01-10,38.527995520716686,15.25206349206349,57.74706552706554,3.5349406528189915,80.47953125000006
2022-01-11,37.205056179775276,14.317823529411763,57.08283737024221,2.8407894736842105,79.31948529411763
2022-01-12,37.02820874471086,13.382600321027288,56.91439999999998,2.490721649484536,79.68872180451119
2022-01-13,36.450793650793656,10.972869080779946,57.11009746588695,1.994138755980861,79.69956521739142
2022-01-14,36.0392464678179,10.03002652519894,56.76877876106195,1.8400669642857146,80.1203846153846
2022-01-15,36.26782884310617,9.710610583446403,56.51653483992466,1.823847926267281,79.82961165048536
2022-01-16,34.99365079365078,8.519380214541119,55.33769980506822,1.5627884615384615,78.8380733944955
2022-01-17,35.867231638418076,9.420941619585687,55.71503526093089,1.7979982206405694,78.86258389261748
2022-01-18,35.42239185750636,9.758727465535525,55.461254125412545,1.755841584158416,79.0032258064516
2022-01-19,35.92297476759627,9.946617283950618,55.51089184060721,1.7152412280701754,79.7182242990654
2022-01-20,35.67694369973191,9.2655938697318,55.69704545454545,1.5805725971370146,80.47456140350874
2022-01-21,36.11864406779661,9.272089136490251,56.33961945031713,1.5469318181818181,80.79350000000004
2022-01-22,36.3338898163606,9.209891808346214,55.90239234449761,1.603960396039604,80.5333333333334
2022-01-23,35.92570951585977,8.754096385542168,55.812109181141444,1.411580882352941,80.77255434782607
2022-01-24,36.265417170495766,9.253245033112583,55.768987108655615,1.5994607843137256,79.59442307692308
2022-01-25,36.03157121879589,9.71778748180495,56.265702127659566,1.4215986394557825,80.95353773584903
2022-01-26,36.85497470489039,10.29596662030598,56.52248062015505,1.5494579945799458,81.59210526315798
2022-01-27,36.56909788867563,9.433422818791946,56.778757062146894,1.5450675675675676,81.72470930232562
2022-01-28,37.02371134020618,9.664153846153846,57.767624999999974,1.6188053097345136,81.15933734939749
2022-01-29,36.770992366412216,9.184551148225468,57.095333333333315,1.6821305841924399,81.3515624999999
2022-01-30,36.265931372549026,8.644609053497943,56.66066914498142,1.2786931818181821,81.6731060606062
